Date,Open,High,Low,Close,Adj Close,Volume
2016-09-27,1202.500000,1222.500000,1202.500000,1215.349976,1102.805664,79766
2016-09-28,1215.000000,1218.000000,1207.500000,1211.724976,1099.516479,254512
2016-09-29,1214.000000,1224.800049,1209.724976,1217.300049,1104.575439,700728
2016-09-30,1217.500000,1224.000000,1212.500000,1213.599976,1101.217773,349554
2016-10-03,1220.000000,1227.500000,1200.650024,1205.900024,1094.230591,183492
2016-10-04,1206.000000,1211.150024,1197.525024,1200.550049,1089.376465,1519100
2016-10-05,1203.000000,1206.699951,1188.000000,1191.275024,1080.960327,92802
2016-10-06,1195.000000,1198.775024,1186.000000,1192.125000,1081.731323,91144
2016-10-07,1194.000000,1194.000000,1178.449951,1184.125000,1074.472412,88570
2016-10-10,1185.000000,1192.500000,1176.400024,1190.050049,1079.848877,164984
2016-10-13,1177.500000,1183.925049,1161.625000,1164.250000,1056.437866,792440
2016-10-14,1161.000000,1192.199951,1149.425049,1182.949951,1073.406006,363638
2016-10-17,1183.550049,1188.500000,1174.025024,1181.449951,1072.044922,114160
2016-10-18,1185.500000,1205.000000,1177.500000,1199.150024,1088.106079,147164
2016-10-19,1202.500000,1202.500000,1185.599976,1197.099976,1086.245728,108162
2016-10-20,1195.050049,1204.375000,1193.000000,1199.925049,1088.809326,55030
2016-10-21,1199.000000,1215.625000,1199.000000,1214.349976,1101.898193,86424
2016-10-24,1214.000000,1215.275024,1202.000000,1213.925049,1104.468750,40064
2016-10-25,1199.000000,1207.199951,1194.449951,1199.324951,1091.184937,69504
2016-10-26,1199.324951,1201.974976,1186.500000,1198.474976,1090.411621,83738
2016-10-27,1190.000000,1212.500000,1183.449951,1206.625000,1097.826660,108572
2016-10-28,1206.625000,1207.500000,1191.500000,1199.625000,1091.458008,69238
2016-11-01,1197.000000,1197.300049,1167.525024,1173.849976,1068.007080,75204
2016-11-02,1170.000000,1170.000000,1148.074951,1152.224976,1048.331909,1325668
2016-11-03,1147.000000,1166.775024,1142.000000,1159.974976,1055.383179,104006
2016-11-04,1150.500000,1168.000000,1147.474976,1165.050049,1060.000366,126488
2016-11-07,1165.750000,1169.500000,1131.550049,1139.675049,1036.913696,274938
2016-11-08,1140.000000,1153.750000,1131.150024,1141.849976,1038.892700,132148
2016-11-09,1110.449951,1137.500000,1071.150024,1085.525024,987.645996,757174
2016-11-10,1100.000000,1109.500000,1071.000000,1079.025024,981.732117,151660
2016-11-11,1072.500000,1073.000000,1045.500000,1052.525024,957.621887,171570
2016-11-15,1057.500000,1078.199951,1027.349976,1061.050049,965.378052,121138
2016-11-16,1062.500000,1104.750000,1062.500000,1095.125000,996.380615,1019310
2016-11-17,1094.500000,1102.349976,1067.599976,1071.074951,974.499023,126570
2016-11-18,1073.000000,1074.525024,1053.250000,1061.574951,965.855591,95108
2016-11-21,1065.000000,1070.500000,1053.500000,1066.275024,970.131897,84768
2016-11-22,1066.000000,1087.449951,1060.824951,1067.150024,970.928101,80690
2016-11-23,1070.574951,1081.150024,1064.800049,1078.349976,981.118164,737708
2016-11-24,1077.500000,1104.000000,1070.000000,1093.250000,994.674438,529064
2016-11-25,1099.974976,1155.000000,1098.050049,1150.425049,1046.694214,307770
2016-11-28,1150.000000,1158.849976,1127.199951,1138.650024,1035.981079,128884
2016-11-29,1140.250000,1145.125000,1125.675049,1129.199951,1027.383057,70810
2016-11-30,1131.250000,1147.500000,1122.025024,1138.375000,1035.730957,96284
2016-12-01,1145.000000,1145.000000,1128.324951,1133.224976,1031.045532,68918
2016-12-02,1132.500000,1134.949951,1104.000000,1111.949951,1011.688232,81224
2016-12-05,1110.500000,1117.574951,1086.500000,1093.224976,994.651855,75966
2016-12-06,1097.500000,1102.000000,1088.500000,1095.224976,996.471313,91508
2016-12-07,1095.000000,1095.000000,1075.500000,1079.099976,981.800537,132192
2016-12-08,1080.000000,1100.000000,1080.000000,1098.449951,999.405884,125494
2016-12-09,1100.775024,1110.474976,1087.500000,1096.724976,997.836487,106284
2016-12-12,1097.500000,1107.750000,1083.000000,1103.125000,1003.659119,435374
2016-12-13,1122.000000,1122.000000,1092.500000,1100.425049,1001.202698,81496
2016-12-14,1101.000000,1111.500000,1095.000000,1103.949951,1004.409790,112504
2016-12-15,1103.949951,1135.750000,1100.275024,1129.750000,1027.883545,212302
2016-12-16,1135.050049,1143.000000,1128.800049,1140.875000,1038.005371,89296
2016-12-19,1144.000000,1148.025024,1131.449951,1143.750000,1040.620972,55026
2016-12-20,1145.000000,1172.000000,1143.724976,1168.875000,1063.480835,129340
2016-12-21,1172.500000,1172.500000,1152.500000,1156.375000,1052.108032,63422
2016-12-22,1156.375000,1162.349976,1143.000000,1154.925049,1050.788818,85978
2016-12-23,1154.500000,1157.849976,1140.000000,1145.099976,1041.849243,56552
2016-12-26,1140.000000,1150.000000,1136.250000,1146.050049,1042.713989,61462
2016-12-27,1145.000000,1164.500000,1144.425049,1160.925049,1056.247681,62170
2016-12-28,1162.500000,1174.500000,1154.025024,1157.900024,1053.495361,67392
2016-12-29,1152.449951,1177.500000,1152.449951,1175.375000,1069.394287,83142
2016-12-30,1175.949951,1187.949951,1175.949951,1180.974976,1074.489746,82958
2017-01-02,1182.500000,1187.500000,1176.449951,1179.525024,1073.170654,50260
2017-01-03,1180.500000,1185.675049,1172.025024,1184.250000,1077.469482,98492
2017-01-04,1184.550049,1193.000000,1179.250000,1189.275024,1082.041504,51342
2017-01-05,1189.275024,1193.500000,1162.500000,1167.275024,1062.025146,117118
2017-01-06,1160.000000,1164.900024,1128.500000,1141.800049,1038.847168,528968
2017-01-09,1144.000000,1155.000000,1128.525024,1151.875000,1048.013428,80870
2017-01-10,1159.500000,1164.150024,1144.500000,1157.724976,1053.335815,213236
2017-01-11,1157.724976,1164.000000,1141.000000,1161.525024,1056.793335,94466
2017-01-12,1169.949951,1179.875000,1151.500000,1171.650024,1066.005615,214322
2017-01-13,1175.000000,1184.000000,1120.750000,1126.000000,1024.471802,913922
2017-01-16,1126.000000,1136.949951,1115.000000,1129.275024,1027.451172,289480
2017-01-17,1130.000000,1143.500000,1126.275024,1138.824951,1036.140259,75938
2017-01-18,1142.300049,1148.500000,1133.500000,1147.500000,1044.033081,238226
2017-01-19,1147.500000,1148.500000,1141.500000,1145.150024,1041.895020,134058
2017-01-20,1145.500000,1150.000000,1133.000000,1143.724976,1040.598389,61972
2017-01-23,1129.500000,1155.500000,1129.500000,1152.849976,1051.889404,171260
2017-01-24,1155.000000,1162.000000,1147.250000,1159.000000,1057.501099,233774
2017-01-25,1159.000000,1179.974976,1159.000000,1176.349976,1073.331665,114796
2017-01-27,1175.000000,1188.650024,1173.750000,1179.025024,1075.772339,89736
2017-01-30,1170.000000,1174.025024,1161.025024,1167.099976,1064.891602,180772
2017-01-31,1167.000000,1167.000000,1103.275024,1114.949951,1017.308716,447766
2017-02-01,1112.175049,1119.974976,1081.000000,1084.724976,989.730652,609436
2017-02-02,1085.000000,1109.449951,1077.150024,1102.900024,1006.313965,292880
2017-02-03,1102.900024,1121.000000,1096.000000,1116.875000,1019.065186,160484
2017-02-06,1124.099976,1127.199951,1108.000000,1120.275024,1022.167603,137052
2017-02-07,1120.500000,1125.000000,1113.000000,1122.400024,1024.106323,122244
2017-02-08,1120.000000,1140.500000,1120.000000,1131.324951,1032.249756,172196
2017-02-09,1135.000000,1165.449951,1134.500000,1162.125000,1060.352539,984414
2017-02-10,1152.000000,1210.449951,1152.000000,1198.349976,1093.405029,243032
2017-02-13,1201.650024,1212.500000,1191.375000,1205.150024,1099.609253,178652
2017-02-14,1207.000000,1207.500000,1198.250000,1201.474976,1096.256470,114198
